,comments,sentiments,clean_comments
71,Asu nai ayo yar...Big salute to the Martyrs. Thank you for the video!,1,asu nai ayo yarbig salute martyr thank video
72,Wow .. thank you for this knowledge bro afnu desh ko history yesari prasta rup le herna ra sunna paunda sarai khusi lagyo. You are doing an amazing job with this channel. ,1,wow thank knowledge bro afnu desh ko history yesari prasta rup le herna ra sunna paunda sarai khusi lagyo amaze job channel
73,I am literally serious this whole content u made is so good then the books i have read from 1 t0 10in my schooll i just learned every part of it without any effort,1,literally serious whole content u make good book read 1 t0 10in schooll learn every part without effort
74,"Just thinking ""What would happen if rana were still ruling"" aside hats off to you work sir",1,think would happen rana still rule aside hat work sir
75,"Thank you souch dai, we need more similar like this incident ️",1,thank souch dai need similar like incident
76,"goosebumbs tears pride honour
salute",1,goosebumbs tear pride honour salute
77,Brave Martyrs!!,1,brave martyr
78,Hats off. You definitely deserve more subscriber. I declare that you will be one the of biggest Youtubers in the history of Nepal,1,hat definitely deserve subscriber declare one big youtubers history nepal
79,Goosebumps ,1,goosebump
80,"HISTORY of Nepali Congress and UML... Its is also a demanding topic..
If you can please make a video on it.
This series is appreciated ️",1,history nepali congress uml also demand topic please make video series appreciate
81,Had read about this in course books but can't feel and  understand their contribution that  time... But  these videos is very understandable .... thank you so much ...,1,read course book feel understand contribution time videos understandable thank much
82,"Hats off to ""the nepali comment"" team . God bless you guys ",1,hat nepali comment team god bless guy
83,please continue this series . what happened after  that. how did rana collapse . we love this series please continue this.,1,please continue series happen rana collapse love series please continue
84,Our brave heros ️,1,brave hero
85,Toms of respect to your effort bro. Atti dami,1,tom respect effort bro atti dami
86,Thank you so much for letting us know about it️,1,thank much let u know it
87,Absolutely Magnificent Loved it️,1,absolutely magnificent love it
88,Amazing. We need many more videos related to our history.,1,amaze need many video related history
89,I am hooked. I really don't know where this episode fits into the grand scheme of things but it is amazing.,1,hook really dont know episode fit grand scheme thing amaze
90,I want someone to make a proper live-action movie made on this topic.,1,want someone make proper liveaction movie make topic
91,Thankyou Sahid bir haru thankyou for every thing that you have done for us.,1,thankyou sahid bir haru thankyou every thing do u
92,"Hats off
We need more story about our country history",1,hat need story country history
93,Tough times create strong men.,1,tough time create strong men
94,Still not sleeping for this video ️,0,still sleep video
95,Dherai Dherai dhanyabaad hamro itihas lai ujaagar gareko ma.. Hats off to efforts both in story telling and videography,1,dherai dherai dhanyabaad hamro itihas lai ujaagar gareko hat effort story tell videography
96,"After this, we want a detailed video on how our beloved Nepal got rid of the tyrant Ranas..",1,want detail video beloved nepal get rid tyrant rana
97,KAsto goosebumps nai aayo. Thank you for your finest content everytime. God bless you dipesh,1,kasto goosebump nai aayo thank fine content everytime god bless dipesh
98,I hope you will provide history of Nepal before Prithivi Narayan Shah in future contents... since most of us are unknown about that part of our history.,1,hope provide history nepal prithivi narayan shah future content since u unknown part history
99,this was so interesting! thank you for making these videos.,1,interesting thank making video
100,Continue the series please ️,1,continue series please
101,what a great series... thankyou for this video Team,1,great series thankyou video team
102,This is for why I pay my internet bill. Great content brother.keep going ️,1,pay internet bill great content brotherkeep go
103,very insightful story kuddos to team for the effort.,1,insightful story kuddos team effort
104,just precious history ,1,precious history
105,How did you collect this our historic scene hat off your effort dai 🇳🇵,1,collect historic scene hat effort dai
106,"Big Big respect brother
What a lovely Video",1,big big respect brother lovely video
107,Khatrai vancha yar story tah yesto majja auchani sunna ra bujhna hats off for your hard work and top notch research big big fan from boudha,1,khatrai vancha yar story tah yesto majja auchani sunna ra bujhna hat hard work top notch research big big fan boudha
108,Heart touching ,1,heart touch
109,We neeed more parts of this series,1,neeed part series
110,Never forgotten R.I.P sahid haru,0,never forget rip sahid haru
111,I usually don't subscribe nepali channels but u just got a subscription ,0,usually dont subscribe nepali channel u get subscription
112,Can we get a series what happend after that ?? Cause you explain more properly than what we read on social book back tjean,1,get series happend cause explain properly read social book back tjean
113,We would absolutely love... If you make the similar videos on Rise of Rana Regime too...and hands doy..this is the most informative video I have ever seen on jistoy,1,would absolutely love make similar video rise rana regime tooand hand doythis informative video ever see jistoy
114,More History and continue the story please.,1,history continue story please
115,Jai Nepal️,1,jai nepal
116,Your Team Deserves a lot ️️️️,1,team deserve lot
117,Wish to see more videos like this.,1,wish see video like
118,"Can you please continue what happened next
 I myself and all your subscribers would be really happy to see more.",0,please continue happen next subscriber would really happy see
119,"We need more historical contain 
",1,need historical contain
120,"Nepalese can watch this series instead of nepali films.
Thrill, emotions, dare of real heros and insight.️",1,nepalese watch series instead nepali film thrill emotion dare real hero insight
121,Appreciate it bro. Excellent job. Thank you,1,appreciate bro excellent job thank
122,"Salute xa hamro Sahid haaru KO laagi RW sabai tyo Sahid haaru lai
Tapai KO video here dai ma Pani hajur KO pariwar KO hisaa Bayee  dai️",1,salute xa hamro sahid haaru ko laagi rw sabai tyo sahid haaru lai tapai ko video dai pani hajur ko pariwar ko hisaa bayee dai
123,"Amazing eplaination daii . hope you make such videos on inernational facts as well so we can gain moree knowledge worldwide like terroist osama bin ladin , world warr or any other intresting topics",1,amaze eplaination daii hope make videos inernational fact well gain moree knowledge worldwide like terroist osama bin ladin world warr intresting topic
124,This is a great content. Thank you,1,great content thank
125,Quality content!,1,quality content
126,Really appreciate your effort️ #TNC,1,really appreciate effort tnc
127,7:49 salute 🫡 goosebumps,1,749 salute goosebump
128,Your content are so nice and informative dai,1,content nice informative dai
129,"Goosebumps
One thing, It is Bhoto Jatra, not Bhotey Jatra.
Anyways great content ",1,goosebump one thing bhoto jatra bhotey jatra anyways great content
130,Great video. Is there any way to contribute/support your work?,1,great video way contributesupport work
131,We Also Want the Story Of Lakhan Thapa,1,also want story lakhan thapa
132,"History has been so interesting, thank you",1,history interesting thank
133,Wish a film would have been made on this,1,wish film would make
134,"Please continue this history हामिलाई हाम्रो भुतकालमा भएको सबै घटना हरु जान्न्छ,, राणा शासन र राजा शासन को बारेमा नि जानकारी दिन पर्यो सुरु देखि अन्त्य सम्म को",1,please continue history
135,I wish this video was there when I studied Social Studies in my school. Great research and content! Waiting for more.,1,wish video study social study school great research content wait
136,"Yo Part herna etti parkhina tara Title ma ""Last Part"" dekhesi naramro lago ajai part aaucha bhanne aasa ma thiye  Hats Off To Our Martyrs",1,yo part herna etti parkhina tara title last part dekhesi naramro lago ajai part aaucha bhanne aasa thiye hat martyr
137,Thank you for putting story behind what was just Names and Photos for me.,1,thank put story behind name photo
138,"It will be a great segue to talk about the revolution afterwards and how in 2007 rana regime was abolished.  Back in school, the information was minimal.",0,great segue talk revolution afterwards 2007 rana regime abolish back school information minimal
139,After watching 2 videos you made me to press subscribe button.  All the best,1,watch 2 video make press subscribe button best
140,Great explanation with great quality,1,great explanation great quality
141,Great work,1,great work
142,Hami ta goli khayera marne ho was epic hatsoff to our heros and awesome series brother!,1,hami ta goli khayera marne ho epic hatsoff hero awesome series brother
143,We would be living like North Korean if there were not these Martyrs  They should be remembered every time,1,would live like north korean martyr remember every time
144,Made me emotional bro!,1,make emotional bro
145,you did brilliant job,1,brilliant job
146,next part fast plz ️,0,next part fast plz
147,One of the best eye opening video series with a lot of in depth research. It's the reason why I have subscribed this channel. Keep up the good work.,1,one best eye open video series lot depth research reason subscribe channel keep good work
148,Thank you so much bringing up history,1,thank much bringing history
149,Heartfelt condolences to our great martyr ...jai nepal ama ..Yo saput ko sadhai naam chamkirahoss,0,heartfelt condolence great martyr jai nepal ama yo saput ko sadhai naam chamkirahoss
150,"now combining all 3 parts, you should upload a single video.",0,combine 3 part upload single video
151,"@the nepali comment ,please upload one series on the end of Rana regime ",1,nepali comment please upload one series end rana regime
152,Thank you for this gift on occasion of this day,1,thank gift occasion day
153,Continue the series.........keen to look forward,1,continue serieskeen look forward
154,Nice job bro keep it up,1,nice job bro keep
155,Rest in peace Sabailai ,0,rest peace sabailai
156,Please make a video of of how tribhuwan fled to india and the events in indian embassy ktm vs ranas. Bir Sahid Salam!,0,please make video tribhuwan flee india event indian embassy ktm v rana bir sahid salam
157,It was great knowledge keep going*,1,great knowledge keep go
158,YOU'RE JUST SUPERB,1,youre superb
159,Please make a video on Rabi lamichanne case ️,1,please make video rabi lamichanne case
160,Juddha Rana should be taught as he was ! Not like a brave guy in our education system ,1,juddha rana taught like brave guy education system
161,"Please continue the series tru history...collapse of rana,prajantantra, maoist janaandolan, ganatantra,loktqntra till now political state of nepal",1,please continue series tru historycollapse ranaprajantantra maoist janaandolan ganatantraloktqntra till political state nepal
162,"Our freedom was bought with a hefty price, now I can only imagine how much.",1,freedom buy hefty price imagine much
163,"It would be such a shame for these Martyrs to see the current Nepal where most of the youth are moving abroad for employment, corruption at its peak, political parties working only for their own benefit and people being indifferent to the government more now than ever. What has their sacrifice led to?",0,would shame martyrs see current nepal youth move abroad employment corruption peak political party work benefit people indifferent government ever sacrifice lead
164,Please continue this series plz.,1,please continue series plz
165,Nobody noticed the mistake he has done in this video... Overall i like the animation..,0,nobody notice mistake do video overall like animation
166,Thankyou man for information and inspiration,1,thankyou man information inspiration
167,we want next part ,1,want next part
168,Hope someone makes a movie on it.,1,hope someone make movie
169,Salute ,1,salute
170,Keep going ️,1,keep go
171,Love your videos brother,1,love video brother
172,Can you make a video on how Nepal became independent from Rana rule,0,make video nepal become independent rana rule
173,Continuity of the series is in demand ........plz,1,continuity series demand plz
174,Your research is extraordinary this channel must be the biggest youtube channel of nepal. everybody please susbcribe and never miss any vidoes.,1,research extraordinary channel must big youtube channel nepal everybody please susbcribe never miss vidoes
175,Jai Shahid!! ,1,jai shahid
176,one video on the hinderberg report plz..why this report is so powerful..,1,one video hinderberg report plzwhy report powerful
177,hats of sir...,1,hat sir
178,Best content creator of Nepal,1,best content creator nepal
179,"Consistent nepali comment
Hats off bro",1,consistent nepali comment hat bro
180,Hello sir plz we want next part how rana regime ended,0,hello sir plz want next part rana regime end
181,i appreciate u bro !!!,1,appreciate u bro
182,"Ending Ali fast vayo jasto lagyo. 
Anyway Hats off ",0,end ali fast vayo jasto lagyo anyway hat
183,great  martyrs heroes plus video making person,1,great martyr hero plus video making person
184,This is premium content.,1,premium content
185,यस्तै ऐतिहासिक घटनाहरुको बारेमा भिडियो बनाईरहनु होला। Big fan,1,big fan
186,Sahid word afaima legend chha️,1,sahid word afaima legend chha
187,Sahid diwas ko subhakamana ,1,sahid diwas ko subhakamana
188,Worth Watching.,1,worth watch
189,please make more videos on this series of Nepal Transformation,1,please make videos series nepal transformation
190,you are good speaker ️,1,good speaker
191,"मैले हजुरको च्यानलबाट धेरै कुरा सिक्न बुझ्न पाएँ। सधैं यस्तै कन्टेन्ट राखिरहनुस्।
Much Love !️",1,much love
192,Babaal mini documentary.... Keep it up,1,babaal mini documentary keep
193,Good work,1,good work
194,Always ️️️,1,always
195,Please make video on education system in nepal,1,please make video education system nepal
196,Awesome..... Dai hjr ko vdos ekdamai informative xa....thank you so much dai....carry on dai....,1,awesome dai hjr ko vdos ekdamai informative xathank much daicarry dai
197,"Helllo bro please make video and story of first martyr of nepal   
and his contribution",1,helllo bro please make video story first martyr nepal contribution
198,"Series continue garnu paryo 
I'm waiting...",1,series continue garnu paryo im wait
199,"तपाईँको टिमले गरेको मेहेन्तले भावी पुस्ताले सहिदकाे बलिदानलाई स्मरण गर्ने छन् । हामीले पनि यो कुराहरु पडेका त थियौ तर यति विस्तृतमा भिडियो साहित यि कुराहरू जान्न पाउँदा धेरै धेरै धन्यवाद दिन चाहन्छौ 
    The Nepali comment टिमलाई । 
आउँदा समयमा यसपछि के भयो पञ्चायत कसरी आयो भन्ने विषयमा यस्तै रोचक र चख्लाग्दो तरिकाले प्रस्तुत गर्नु हुन्छ भन्ने आशा गरेका छौं।
 ️️️",1,nepali comment
200,Can u make a video on problem with waste management in Nepal ?,0,u make video problem waste management nepal
201,No words for maytyrs️,1,word maytyrs
202,Atii ramro. Ending ma pani ali detail sunna chahanthe rana haruko. Tetro dukha diyesi dukha payeko ni sunna man lagcha,1,atii ramro end pani ali detail sunna chahanthe rana haruko tetro dukha diyesi dukha payeko ni sunna man lagcha
203,continue this series bro,1,continue series bro
204,Wow kati deep research with evidence,1,wow kati deep research evidence
205,Wow,1,wow
206,Dhanyabad bir sahid ️️,1,dhanyabad bir sahid
207,Wow finally last part,1,wow finally last part
208,I always turn off my adblocker and watch the ads on The Nepali Comment channel to support the creators like him.,1,always turn adblocker watch ad nepali comment channel support creator like
209,We need next part,1,need next part
210,Aaja hamii Swotantra Hinna pauNuma Sahidko Yogdan rahex️,1,aaja hamii swotantra hinna paunuma sahidko yogdan rahex
211,Downfall of Ranas should be the next video in future,0,downfall rana next video future
212,"Bro hijo dekhi wait gardai baseko thiye almost 10 time check garya hola yo video ko lagi last ma aaja na aula bhandai game khelna base and last suna aghi ak patak heram na vandai video vetiyo. 
Great work bro and really good research one of the best video series produced by you. Keep making new videos.",1,bro hijo dekhi wait gardai baseko thiye almost 10 time check garya hola yo video ko lagi last aaja na aula bhandai game khelna base last suna aghi ak patak heram na vandai video vetiyo great work bro really good research one best video series produce keep make new video
213,How can we get the photos of those pamphlets??,0,get photo pamphlet
214,Can we get more about 2007 Revolution,0,get 2007 revolution
215,"Bro yeuta video psc ko bare banaunu nw pls. like information, what job we get etc.etc",1,bro yeuta video psc ko bare banaunu nw pls like information job get etcetc
216,Finally last chapter ayo.,0,finally last chapter ayo
217,These videos should be in school curriculum,1,videos school curriculum
218,Mero Desh Le Mahan 4 Jana Sahid Haru Lai Kaile Na Birseun ️️️,1,mero desh le mahan 4 jana sahid haru lai kaile na birseun
219,"Dami dami ; sabai herey 
Keeep going mero online dai ️️",1,dami dami sabai herey keeep go mero online dai
220,Best video in this channel ,1,best video channel
221,Yesto content tw babal hunxa️,1,yesto content tw babal hunxa
222,2007 B.S ma Democracy aayo . Rana regime end vayo ani tespaxi political party haru rule garen Tara 2007B.S. - 2017 B.S ma political instability KO barema detailed video banaunu na,0,2007 b democracy aayo rana regime end vayo ani tespaxi political party haru rule garen tara 2007bs 2017 bs political instability ko barema detail video banaunu na
223,Can you also make video on BP koirala?,1,also make video bp koirala
224,"For those who are confused why the Ranas were not able to kill Tanka Prasad Acharya, it's because in Hinduism, Brahmin-hatya (killing of Brahmins) is a very big sin. Hence, Ranas being devout hindus themselves, had codified in Muluki Ain that Brahmins can never be given death penalty. The only other people to receive the same treatment was the king.

This rule was changed later by King Mahendra when he repealed the Muluki Ain and codified anti-discrimination laws. However, opponents claim that this rule changed was done because King Mahendra found it very had to control dissent from Brahmin political leaders who couldn't be given death penalty.",0,confuse rana able kill tanka prasad acharya hinduism brahminhatya kill brahmin big sin hence rana devout hindu codify muluki brahmin never give death penalty people receive treatment king rule change later king mahendra repeal muluki codify antidiscrimination law however opponent claim rule change do king mahendra find control dissent brahmin political leader couldnt give death penalty
225,️️🇳🇵🇳🇵🇳🇵 jay jay nepal  sundar ra shanata bisahl,1,jay jay nepal sundar ra shanata bisahl
226,goosebumps yr,1,goosebump yr
227,Why no movies are made on our Martyrs?,1,movie make martyr
228,Bro dherai ramro lagyo yar please continue ️️️️,1,bro dherai ramro lagyo yar please continue
229,next: nepali music industry vs india music industry in early days,1,next nepali music industry v india music industry early day
230,"हाम्रो ईतिहास कुनै hollywood फिल्म भन्दा कम छैन तर न त हामीले त्यसलाई पर्दामा नै राम्रो संग उतार्न सक्यौँ न नै त्यसबाट पाठ सिकेर देश विकास गर्न सक्यौँ। सहिदको सम्म सम्मान नगरी, जस्तो मृत्युलाई पनि सहिदको मृत्युसंग दाज्न थाल्यौँ।",1,hollywood
231,I am not crying I really am not crying,0,cry really cry
232,"Brother,  rise of rana regime ko barema ali elaborate video chaiyo",1,brother rise rana regime ko barema ali elaborate video chaiyo
233,NEXT VIDEO ON TOPIC OF WORLD WAR DIED SOLDERS IF NEPAL.,0,next video topic world war die solder nepal
234,very informitive bro,1,informitive bro
235,School college ko social studies is shit. This is awesome ,1,school college ko social study shit awesome
236,Hotsoff those are heroes.,1,hotsoff hero
237,Why dont u continue the story ?,0,dont u continue story
238,"Derai ramro video 
 story telling ni ramro xa tara malai lagxa improve garera ramro banauna sakinxa jasto malai lagyo hoi like presentation, sound quality , animation ra background sound. 
#JayNepal
#THENEPALICOMMENT",1,derai ramro video story tell ni ramro xa tara malai lagxa improve garera ramro banauna sakinxa jasto malai lagyo hoi like presentation sound quality animation ra background sound jaynepal thenepalicomment
239,Waiting.....,0,wait
240,"We all know black history and feel that's inhuman (Nepalese living in USA). We voice for it. 
But have you looked back at what Ranas had done and how we Nepalese janjati and their ancestors were treated? 
And details of their inhumanities were wiped out from history and we will never know how inhuman Ranas were. 
Specially Newar haru ko ta sab land nai lutyo.",0,know black history feel thats inhuman nepalese living usa voice look back ranas do nepalese janjati ancestor treat detail inhumanity wipe history never know inhuman rana specially newar haru ko ta sab land nai lutyo
241,"7:48 ""salute"".",1,748 salute
242,Bro please make a video on unemployment In Nepal,0,bro please make video unemployment nepal
243,"And Now some fake shit politicians selling Nepal.
Just got into teared after listening this story.
Tons of salute for these brave gorkhalies.",1,fake shit politician sell nepal get teared listen story ton salute brave gorkhalies
244,Rana shashan ko aantya kasarii vayo tesko panii detail video banunu na sir...,0,rana shashan ko aantya kasarii vayo tesko panii detail video banunu na sir
245,What an idea ,1,idea
246,gangalal shrestha an amazing heroo of the country,1,gangalal shrestha amaze heroo country
247,All part watch ,1,part watch
248,wow dashrat chand was a beast,1,wow dashrat chand beast
249,Make a video on the top of world war for the preparation of SEE?,0,make video top world war preparation see
250,Some more information about Lakhan Thapa.,1,information lakhan thapa
251,gangala had the dwag in him,1,gangala dwag
252,"Dai aba ko next video chai 
2062/63 dekhi aailey samma ko political instability ra kina uni haru le resign garnu pareko barema banaunu paryo hajur le",1,dai aba ko next video chai 206263 dekhi aailey samma ko political instability ra kina uni haru le resign garnu pareko barema banaunu paryo hajur le
253,How can i get this all information?,1,get information
254,Make video on end of rana reisem,1,make video end rana reisem
255,Tapai ko vanne tarika babal cha dai ,1,tapai ko vanne tarika babal cha dai
256,"Plzz make itt what happen after that 
Plzzz",1,plzz make itt happen plzzz
257,Next video must about Raj Durwar hatyakanda ?,1,next video must raj durwar hatyakanda
258,though I like your content and video making style,1,though like content video making style
259,Amazing,1,amaze
