,comments,sentiments
97,"After this, we want a detailed video on how our beloved Nepal got rid of the tyrant Ranas..",1
98,KAsto goosebumps nai aayo. Thank you for your finest content everytime. God bless you dipesh,1
99,"हुँदैन बिहान मिर्मिरेमा तारा झरेर नगए, 
बन्दैन मुलुक दुई-चार सपूत मरेर नगए |",1
100,I hope you will provide history of Nepal before Prithivi Narayan Shah in future contents... since most of us are unknown about that part of our history.,1
101,this was so interesting! thank you for making these videos.,1
102,Continue the series please ️,1
103,what a great series... thankyou for this video Team,1
104,This is for why I pay my internet bill. Great content brother.keep going ️,1
105,very insightful story kuddos to team for the effort.,1
106,just precious history ,1
107,How did you collect this our historic scene hat off your effort dai 🇳🇵,1
108,"Big Big respect brother
What a lovely Video",1
109,Khatrai vancha yar story tah yesto majja auchani sunna ra bujhna hats off for your hard work and top notch research big big fan from boudha,1
110,Heart touching ,1
111,We neeed more parts of this series,1
112,Never forgotten R.I.P sahid haru,1
113,I usually don't subscribe nepali channels but u just got a subscription ,1
114,Can we get a series what happend after that ?? Cause you explain more properly than what we read on social book back tjean,1
115,We would absolutely love... If you make the similar videos on Rise of Rana Regime too...and hands doy..this is the most informative video I have ever seen on jistoy,1
116,More History and continue the story please.,1
117,Jai Nepal️,1
118,Your Team Deserves a lot ️️️️,1
119,Wish to see more videos like this.,1
120,"Can you please continue what happened next
 I myself and all your subscribers would be really happy to see more.",1
121,"We need more historical contain 
",1
122,"Nepalese can watch this series instead of nepali films.
Thrill, emotions, dare of real heros and insight.️",1
123,Appreciate it bro. Excellent job. Thank you,1
124,"Salute xa hamro Sahid haaru KO laagi RW sabai tyo Sahid haaru lai
Tapai KO video here dai ma Pani hajur KO pariwar KO hisaa Bayee  dai️",1
125,"Amazing eplaination daii . hope you make such videos on inernational facts as well so we can gain moree knowledge worldwide like terroist osama bin ladin , world warr or any other intresting topics",1
126,This is a great content. Thank you,1
127,Quality content!,1
128,Really appreciate your effort️ #TNC,1
129,7:49 salute 🫡 goosebumps,1
130,Your content are so nice and informative dai,1
131,"Goosebumps
One thing, It is Bhoto Jatra, not Bhotey Jatra.
Anyways great content ",1
132,ज्ञात अज्ञात शहीदहरु प्रति नमन ,1
133,Great video. Is there any way to contribute/support your work?,1
134,We Also Want the Story Of Lakhan Thapa,1
135,"History has been so interesting, thank you",1
136,Wish a film would have been made on this,1
137,"Please continue this history हामिलाई हाम्रो भुतकालमा भएको सबै घटना हरु जान्न्छ,, राणा शासन र राजा शासन को बारेमा नि जानकारी दिन पर्यो सुरु देखि अन्त्य सम्म को",1
138,I wish this video was there when I studied Social Studies in my school. Great research and content! Waiting for more.,1
139,"Yo Part herna etti parkhina tara Title ma ""Last Part"" dekhesi naramro lago ajai part aaucha bhanne aasa ma thiye  Hats Off To Our Martyrs",1
140,Thank you for putting story behind what was just Names and Photos for me.,1
141,"It will be a great segue to talk about the revolution afterwards and how in 2007 rana regime was abolished.  Back in school, the information was minimal.",1
142,After watching 2 videos you made me to press subscribe button.  All the best,1
143,Great explanation with great quality,1
144,Great work,1
145,Hami ta goli khayera marne ho was epic hatsoff to our heros and awesome series brother!,1
146,We would be living like North Korean if there were not these Martyrs  They should be remembered every time,1
147,Made me emotional bro!,1
148,you did brilliant job,1
149,next part fast plz ️,1
150,One of the best eye opening video series with a lot of in depth research. It's the reason why I have subscribed this channel. Keep up the good work.,1
151,Thank you so much bringing up history,1
152,Heartfelt condolences to our great martyr ...jai nepal ama ..Yo saput ko sadhai naam chamkirahoss,1
153,"now combining all 3 parts, you should upload a single video.",1
154,"@the nepali comment ,please upload one series on the end of Rana regime ",1
155,Thank you for this gift on occasion of this day,1
156,Continue the series.........keen to look forward,1
157,Nice job bro keep it up,1
158,Rest in peace Sabailai ,1
159,Please make a video of of how tribhuwan fled to india and the events in indian embassy ktm vs ranas. Bir Sahid Salam!,1
160,It was great knowledge keep going*,1
161,YOU'RE JUST SUPERB,1
162,Please make a video on Rabi lamichanne case ️,1
163,Juddha Rana should be taught as he was ! Not like a brave guy in our education system ,1
164,"Please continue the series tru history...collapse of rana,prajantantra, maoist janaandolan, ganatantra,loktqntra till now political state of nepal",1
165,"Our freedom was bought with a hefty price, now I can only imagine how much.",1
166,"It would be such a shame for these Martyrs to see the current Nepal where most of the youth are moving abroad for employment, corruption at its peak, political parties working only for their own benefit and people being indifferent to the government more now than ever. What has their sacrifice led to?",1
167,Please continue this series plz.,1
168,Nobody noticed the mistake he has done in this video... Overall i like the animation..,1
169,Thankyou man for information and inspiration,1
170,we want next part ,1
171,Hope someone makes a movie on it.,1
172,Salute ,1
173,Keep going ️,1
174,Love your videos brother,1
175,Can you make a video on how Nepal became independent from Rana rule,1
176,एक मिनेट मौन धारण ती सम्पुर्ण ज्ञात अज्ञात सहिद हरुलाइ  बिर सहिद अमर रहुन,1
177,Continuity of the series is in demand ........plz,1
178,Your research is extraordinary this channel must be the biggest youtube channel of nepal. everybody please susbcribe and never miss any vidoes.,1
179,Jai Shahid!! ,1
180,one video on the hinderberg report plz..why this report is so powerful..,1
181,hats of sir...,1
182,Best content creator of Nepal,1
183,"Consistent nepali comment
Hats off bro",1
184,Hello sir plz we want next part how rana regime ended,1
185,"यसरि बिर्ता देखाएर बनाएको देश, समाज रुपान्तरण र आफ्नो नैसर्गिक अधिकार को लागि आफ्नो ज्यान दिएर बनाएको देश, आज सिमित राजनैतीक पार्टी र तिन्को नेताहरु ले देश बेची खाए. पञ्चायत फाले आँफै राजा भय. वीर शहीदहरु प्रती हार्दिक नमन ",1
186,i appreciate u bro !!!,1
187,"Ending Ali fast vayo jasto lagyo. 
Anyway Hats off ",1
188,great  martyrs heroes plus video making person,1
189,This is premium content.,1
190,यस्तै ऐतिहासिक घटनाहरुको बारेमा भिडियो बनाईरहनु होला। Big fan,1
191,Sahid word afaima legend chha️,1
192,Sahid diwas ko subhakamana ,1
193,Worth Watching.,1
194,please make more videos on this series of Nepal Transformation,1
195,you are good speaker ️,1
196,"मैले हजुरको च्यानलबाट धेरै कुरा सिक्न बुझ्न पाएँ। सधैं यस्तै कन्टेन्ट राखिरहनुस्।
Much Love !️",1
197,Babaal mini documentary.... Keep it up,1
198,Good work,1
199,Always ️️️,1
200,Please make video on education system in nepal,1
201,Awesome..... Dai hjr ko vdos ekdamai informative xa....thank you so much dai....carry on dai....,1
202,"Helllo bro please make video and story of first martyr of nepal   
and his contribution",1
203,"Series continue garnu paryo 
I'm waiting...",1
204,"तपाईँको टिमले गरेको मेहेन्तले भावी पुस्ताले सहिदकाे बलिदानलाई स्मरण गर्ने छन् । हामीले पनि यो कुराहरु पडेका त थियौ तर यति विस्तृतमा भिडियो साहित यि कुराहरू जान्न पाउँदा धेरै धेरै धन्यवाद दिन चाहन्छौ 
    The Nepali comment टिमलाई । 
आउँदा समयमा यसपछि के भयो पञ्चायत कसरी आयो भन्ने विषयमा यस्तै रोचक र चख्लाग्दो तरिकाले प्रस्तुत गर्नु हुन्छ भन्ने आशा गरेका छौं।
 ️️️",1
205,Can u make a video on problem with waste management in Nepal ?,1
206,No words for maytyrs️,1
207,Atii ramro. Ending ma pani ali detail sunna chahanthe rana haruko. Tetro dukha diyesi dukha payeko ni sunna man lagcha,1
208,continue this series bro,1
209,धेरै धेरै धन्यवाद तपाईंको भिडियो मार्फत इतिहासलाई  अझै नजिकबाट बुझ्न पाईयो।,1
210,Wow kati deep research with evidence,1
211,Wow,1
212,Dhanyabad bir sahid ️️,1
213,Wow finally last part,1
214,I always turn off my adblocker and watch the ads on The Nepali Comment channel to support the creators like him.,1
215,We need next part,1
216,Aaja hamii Swotantra Hinna pauNuma Sahidko Yogdan rahex️,1
217,Downfall of Ranas should be the next video in future,1
218,"Bro hijo dekhi wait gardai baseko thiye almost 10 time check garya hola yo video ko lagi last ma aaja na aula bhandai game khelna base and last suna aghi ak patak heram na vandai video vetiyo. 
Great work bro and really good research one of the best video series produced by you. Keep making new videos.",1
219,How can we get the photos of those pamphlets??,1
220,Can we get more about 2007 Revolution,1
221,"Bro yeuta video psc ko bare banaunu nw pls. like information, what job we get etc.etc",1
222,Finally last chapter ayo.,1
223,These videos should be in school curriculum,1
224,Mero Desh Le Mahan 4 Jana Sahid Haru Lai Kaile Na Birseun ️️️,1
225,"Dami dami ; sabai herey 
Keeep going mero online dai ️️",1
226,Best video in this channel ,1
227,Yesto content tw babal hunxa️,1
228,2007 B.S ma Democracy aayo . Rana regime end vayo ani tespaxi political party haru rule garen Tara 2007B.S. - 2017 B.S ma political instability KO barema detailed video banaunu na,1
229,Can you also make video on BP koirala?,1
230,"For those who are confused why the Ranas were not able to kill Tanka Prasad Acharya, it's because in Hinduism, Brahmin-hatya (killing of Brahmins) is a very big sin. Hence, Ranas being devout hindus themselves, had codified in Muluki Ain that Brahmins can never be given death penalty. The only other people to receive the same treatment was the king.

This rule was changed later by King Mahendra when he repealed the Muluki Ain and codified anti-discrimination laws. However, opponents claim that this rule changed was done because King Mahendra found it very had to control dissent from Brahmin political leaders who couldn't be given death penalty.",1
231,️️🇳🇵🇳🇵🇳🇵 jay jay nepal  sundar ra shanata bisahl,1
232,goosebumps yr,1
233,Why no movies are made on our Martyrs?,1
234,️️️,1
235,Bro dherai ramro lagyo yar please continue ️️️️,1
236,ओखलढुंगा को ईतिहास को बारेमा पनि भिडिओ बनाउनु पर्यो के ।️,1
237,next: nepali music industry vs india music industry in early days,1
238,पर्किदा परकिदा निंरा नै लाग्यो झन्ना हेर्न पाइयो ,1
239,"हाम्रो ईतिहास कुनै hollywood फिल्म भन्दा कम छैन तर न त हामीले त्यसलाई पर्दामा नै राम्रो संग उतार्न सक्यौँ न नै त्यसबाट पाठ सिकेर देश विकास गर्न सक्यौँ। सहिदको सम्म सम्मान नगरी, जस्तो मृत्युलाई पनि सहिदको मृत्युसंग दाज्न थाल्यौँ।",1
240,I am not crying I really am not crying,1
241,"Brother,  rise of rana regime ko barema ali elaborate video chaiyo",1
242,NEXT VIDEO ON TOPIC OF WORLD WAR DIED SOLDERS IF NEPAL.,1
243,very informitive bro,1
244,School college ko social studies is shit. This is awesome ,1
245,Hotsoff those are heroes.,1
246,Why dont u continue the story ?,1
247,"Derai ramro video 
 story telling ni ramro xa tara malai lagxa improve garera ramro banauna sakinxa jasto malai lagyo hoi like presentation, sound quality , animation ra background sound. 
#JayNepal
#THENEPALICOMMENT",1
248,Waiting.....,1
249,यती सम्मन गरेर वीरहरुले जोगाएको मेरो देश आज के हालतमा छ। ,1
250,"We all know black history and feel that's inhuman (Nepalese living in USA). We voice for it. 
But have you looked back at what Ranas had done and how we Nepalese janjati and their ancestors were treated? 
And details of their inhumanities were wiped out from history and we will never know how inhuman Ranas were. 
Specially Newar haru ko ta sab land nai lutyo.",1
251,"7:48 ""salute"".",1
252,Bro please make a video on unemployment In Nepal,1
253,,1
254,वीर सहिद  अमर रहुन् ,1
255,"आफ्नो खुसिको कुनै ख्याल नगरि देश र जनताको हक अधिकार र स्वतन्त्रताका लागि आफ्नो ज्यानको आहुति दिने ज्ञात अज्ञात सहिदहरू प्रति सम्मान प्रकट गर्दै हार्दिक स्रद्धासुमन ।
#सहिददिवस",1
256,"And Now some fake shit politicians selling Nepal.
Just got into teared after listening this story.
Tons of salute for these brave gorkhalies.",1
257,Rana shashan ko aantya kasarii vayo tesko panii detail video banunu na sir...,1
258,What an idea ,1
259,"हे चार शहिदहरु नेपाली जनताको निम्ति तपाईंले बलिदान् दियो अहिले सयद हामी थिएनौं यदि भइ दिएको भए बलिदानी हुनु पर्थेन , वीर सहिद अमर रहुन्",1
260,gangalal shrestha an amazing heroo of the country,1
261,All part watch ,1
262,wow dashrat chand was a beast,1
263,यति दुख गरेर बचाएको/मुहार फेराएको देश अहिलेका नेतालाई मै लाऊ मै खाऊ भएको छ ।,1
264,️️️,1
265,,1
266,Make a video on the top of world war for the preparation of SEE?,1
267,Some more information about Lakhan Thapa.,1
268,️,1
269,️,1
270,gangala had the dwag in him,1
271,"Dai aba ko next video chai 
2062/63 dekhi aailey samma ko political instability ra kina uni haru le resign garnu pareko barema banaunu paryo hajur le",1
272,How can i get this all information?,1
273,Make video on end of rana reisem,1
274,️️️,1
275,Tapai ko vanne tarika babal cha dai ,1
276,"Plzz make itt what happen after that 
Plzzz",1
277,Next video must about Raj Durwar hatyakanda ?,1
278,though I like your content and video making style,1
279,Amazing,1
280,Aba feri naya shashan suru vako cha tyo pani antya hunalai dherai jana sahid hudai chan..,1
281,"Hello sir, Ram Bahadur Bomjon ko case ma video banaunu na sir",1
282,great,1
283,Awesome,1
284,Bro yespaxi kasari Rana sasan ko antya vayo tesko ni video banau na ,1
285,Wait for next part,1
286,लामो समय पछि अन्खा मा असु अयो मेरो,1
287,I wanted to know what/how happened next,1
288,,1
289,Lakhan Thapa ko barema pani vdo banaunu na.. please,1
290,"Next part .....needed ::
Tri party agreement of delhi.......
And  rise of bp koirala...
Establishment of monarchy ....",1
291,aba ahile ko sarkar dhalna pani yestai bir haru uthnu parxa. Ra sabai janta ko saath hunu parxa. There should be a big revolution again in this country,1
292,i  am your fan bro...... please review and guide me with my videos,1
293,️,1
294,️,1
295,️,1
296,Aankha bata aasu aayo,1
297,"Yeti ramro ra dherie information ta Kasai lie tha xaina hola
Good luck",1
298,Fun Fact: Jay Nepal vanne pailo bekti Sukraraj Sastri Thiye,1
299,Bro timi yo partma ali fast vako daikheyo yasto mailai first time experience garai timro videoma,1
300,What happened after that we are super excited,1
301,5 more minutes to go. And then... ,1
302,,1
303,Best video,1
304,,1
305,And today also there are ranas living in Nepal with all powers and class ...how,1
306,Ramro sir ji,1
307,Ramro sir ji,1
308,Ramro sir ji,1
309,Ramro sir ji,1
310,Ramro sir ji,1
311,Ramro sir ji,1
312,Ramro sir ji,1
313,Aba raja lay kasari rana ko birod garay ra india gara k k agreement bhayo tesko baray ma documentary banauna paryo next episode ma,1
314,,1
315,Babbal,1
316,It’s Bhoto Jatra not Bhote Jatra sir,1
317,rana regime destroy kasari vayo twsko ni part chaiyo,1
318,Next story sugaulu treaty?,1
319,Bro asti ko hindu vs budhidist bare vedio banaunw sakxauu bhaney bro,1
320,bir sahid amar rahun ,1
321,कोत पर्वको बारेमा पनि video बनाऊनू परेऊ,1
322,,1
323,How many going to watch this series again,1
324,,1
325,वीर सपूत अमर रहुन।,1
326,What happens after this sir?,1
327,"how did it even start?????
Prithivi Narayan Shah was the king his son and grandson were supposed to in power?? how did Ranas came to power? and I heard there were good things that ranas did for the people too 
there still are too many unknown things",1
328,part 4 haina hola bro part 3 hola,1
329,recap bhanera sano part could be better... to recall pre. Part,1
330,Still need to fight for the system of Nepal its not different than rana regime,1
331,lakhan thapa story now please,1
332,The Nepali comment️,1
333,This shouldn't be the last part..... We want more,1
334,Freedom isn't free they fought it!,1
335,️,1
336,Dai ko tah Social Studies ma A++ aouthiyo jasto xa,1
337,Beat series in yt fr,1
338,️🇳🇵,1
339,want to support you guys please provide any payment method,1
340,"Will you please research about banking business in nepal.
Some people says banks are frauding with us.
We really wants to the truth",1
341,3 crores hat ko Salam!,1
342,Thanks,1
343,Hi brother ! Aaile yo rabi lammichane le bhaneko 12 bhai patrakar haru ko detail ma video banaunuss  na,1
344,Part 3 bhetina maile,1
345,Rana regime kasari end vo banaunu paryo,1
346,,1
347,Hajur le Kun Kun book bata yesko inspiration paunu vako ho vanidinu na.,1
348,MCC KO BAREMA ALLI RESEARCH GARERA HALNUS NA HAI,1
349,Aba rabi dai ko struggle r aaile vaira ko barema video banaunus na,1
350,Aba rabi dai ko struggle r aaile vaira ko barema video banaunus na,1
351,Nepal ko history ko barema thaha paiyo,1
352,पुष्पलाल श्रेष्ठको जीवनीमा पनि एउटा भिडियो बनाउनु न ब्रो।,1
353,1:39 biska jatra ho slight mistake ani it is bhoto jatra take it positively,1
354,Magh 16 gatey is my birthday ...that i always feel bad,1
355,,1
356,Good,1
357,If information was that much controlled by them k aiile aso aaile ni vairaxa they are distracting us,1
358,Waiting,1
359,Tespaxi congress communists haru le k k garey tesko pani part banaunu na  ...please,1
360,Next part,1
361,️️️️️,1
362,Waiting for resham chaudhary kanda',1
363,yesma movie banaunu parxa,1
364,What a video,1
365,Yo desh ko lagi uni haru mareka thiye... tyo aat lai samman !!!,1
366,depressing as hell,1
367,part 3 khoi,1
368,khatra!,1
369,Bro but Britishers left india in 1947,1
370,Do a series on why King Mahendra scrapped Democracy in Nepal,1
371,The faught but not for this situation they wanted nepal to suceed,1
372,,1
373,ganga lal shrestha ek wudharan ho young blood ko,1
374,Sahid ko ragat ani tyag ko faida vaneko bhrastacari ko lagi matra vayo janta ahile pani ustai pida ani avab ma chan,1
375,dai yestai video aaruni banauna paro,1
376,Want to know more about sudhir Basnet,1
377,12:43 ,1
378,Nepal Bank  lee kahile dekhii loan dilaa  sir video   Banaunun,1
379,hola part part banau nu sajilo hola tara channle ma vaya ko ramro tah akai ma gasara launu ne sjilo heerna lai nee aba secomd chapter kahely 3 kahaelya anime jaso xai garum,1
380,But I didnt found lakhan thapa un this story?,1
381,please correct the thumbnail. 4 martyrs of Nepal but you are also in the middle. this looks very weird,1
382,Paxi paxi kasari Rana sasan sakiyo Tiyo pani vanu hola,1
383,"Nepal ko asto company jun ahile share market ma ghata vairako xa jun paxi ramro pani huna sakxa 
Teslai ligera auta video banauna na .",1
384,अझै  Detials भेटिन मैले,1
385,Nabujekooo kuro Dashrath chand Nepali ki Indian ho ?? Ani Indian vakooo vaye kina Nepal ko rana ko birodh garekooo any answer ..???,1
386,सहिद हरु अमार रहुन्।,1
387,हाल  धन्यवाद मात्र टक्राउन सके । अरु चाहि कुनै भेट जुर्यो भने ।,1
388,वीर शाहीद आमार रहुन्,1
389,Part 4,1
390,0:36 ,1
391,Gazzab video,1
392,Sukraraj le chai kasto contribution deko raixa??,1
393,1997???? Judda samsher le bolayo re.... 1952 ma mareko manxey le kasari bolayo,1
394,The Nepali Comment supremacy ️,1
395,Part 4 ️,1
396,Jpt date vanyo timle.... Date Lai ramrosanga research garera matra vdo banau soltiii,1
397,🫡,1
398,"Nepali story writer haru le yesto story cover garnu, jpt tori story lekchan!",1
399,Ani dai rana sasan ko antya kasri vako tyo pani garnu hai,1
400,महेन्द्र को बारे मा पनि खोजमुलक सामग्री बनाउनु न ल,1
401,They did Dharma Bhakta Mathema dirty.,1
402,आज यही देख्न रहेछ । ,1
403,Thumbnail ma afulai rakna jaruri theo ra?,1
404,Shahid amar rahun,1
405,Yesto desh bhakti aba kaha?,1
406,ko sahid  lai kun thau maa fasi diyo ra mariyo vanera ni vaneko vaye ajha ramro hunthiyo ni,1
407,Malai yo date chai chitta bujena hai.. Ali,1
408,दशरथ चन्द इन्दियन पो रहेछ ,1
409,Dharma bhakta le rana lai thukeko story ne cha,1
410,Bhimsen thapa ko pani ?,1
411,18* below viewers excreted,1
412,Jaya sahid,1
413,Bir Sahid Amar Rahun,1
414,Tyo bir yoddha haru ko samjhana ma ...,1
415,Yespachi K vayo,1
416,Seriously? Thumbnail photo is prank. . At lease your photo in grayscale must not include with martyrs.,1
417,King mahendra jindabad,1
418,दसरथ चन्द किन बारम्बार हिन्दीमा बोल्ने गर्दथे..,1
419,Khe hoina yo bahunharu chal ho satta pauna tyatikhera dhekhi caal raixa aile bujda sahaidharu sabai kharej garnu parxa,1
420,Bhoto jatra**,1
421,राणाहरुको सन्तानलाई खोजी खोजी मार्न मन छ,1
422,Sutni vnyaa hoinwa,1
423,Your picture in the thumbnail was not necessary.,1
424,पर्चा भनेको के हो? नेपाली भासा हो र मैले त बुझिन माफ गर्नु होला,1
425,Search ex-muslim on YouTube.,1
426,I really don't like your thumbnail. It's ridiculous that Mauritius are side and you are at center.I'm not extreme nationalist but I really don't like it.,1
427,Bir sahid lal salam,1
428,T,1
429,Yosh,1
430,Rajtantra jindabad,1
